source,target,edge_type,edge_possibly_sensitive,source_stance,target_stance,account_id,account_type,Lang,stance,account_id_target,account_type_target,Lang_target,stance_target
41142660,55043362,retweet,False,Unknown,Unknown,,,,,,,,
389314080,19834403,retweet,False,Unknown,Unknown,,,,,,,,
192324489,38146999,retweet,False,Unknown,For,,,,,38146999.0,Political actors,en,For
599979316,2444534352,retweet,False,Unknown,Unknown,,,,,,,,
2572016846,1882241653,retweet,False,Unknown,Unknown,,,,,,,,
322648292,38146999,retweet,False,Unknown,For,,,,,38146999.0,Political actors,en,For
40329047,1198481,retweet,False,Unknown,Unknown,,,,,,,,
48011218,330826792,retweet,False,Unknown,Unclear,,,,,330826792.0,Journalistic actors,en,Unclear
1581690392,15088481,retweet,False,Unknown,For,,,,,15088481.0,Advocacy actors,en,For
185560335,1198481,retweet,False,Unknown,Unknown,,,,,,,,
271227918,123006717,retweet,False,Unknown,Unknown,,,,,,,,
1265387018,380648579,retweet,False,Unknown,Unknown,,,,,,,,
165972302,1636590253,retweet,False,Unknown,Unknown,,,,,,,,
34033004,1198481,retweet,False,Unknown,Unknown,,,,,,,,
83728463,116302305,retweet,False,Unknown,Unknown,,,,,,,,
155960939,197332662,retweet,False,Unknown,Unknown,,,,,,,,
48610056,19834403,retweet,False,Unknown,Unknown,,,,,,,,
2458410882,435704007,retweet,False,Unknown,Unknown,,,,,,,,
118909116,295833954,retweet,False,Unknown,Unknown,,,,,,,,
1326471859,26613480,retweet,False,Unknown,Unknown,,,,,,,,
83728463,116302305,retweet,False,Unknown,Unknown,,,,,,,,
877042764,28970958,retweet,False,Unknown,Unknown,,,,,,,,
42858599,1198481,retweet,False,Unknown,Unknown,,,,,,,,
537378352,38146999,retweet,False,Unknown,For,,,,,38146999.0,Political actors,en,For
185560335,330826792,retweet,False,Unknown,Unclear,,,,,330826792.0,Journalistic actors,en,Unclear
4587241,440413534,retweet,False,Unknown,Unknown,,,,,,,,
2789843527,3432735844,retweet,False,Unknown,Unknown,,,,,,,,
189032304,250188760,retweet,False,Unknown,Unknown,,,,,,,,
148188194,435704007,retweet,False,Unknown,Unknown,,,,,,,,
3406383082,55043362,retweet,False,Unknown,Unknown,,,,,,,,
42908508,34294667,retweet,False,Unknown,Unknown,,,,,,,,
15090223,242555999,retweet,False,Unknown,Unknown,,,,,,,,
204567096,197332662,retweet,False,Unknown,Unknown,,,,,,,,
100247838,3308367485,retweet,False,Unknown,Unclear,,,,,3308367485.0,Business actors,en,Unclear
2645817198,1636590253,retweet,False,Unknown,Unknown,,,,,,,,
43778506,38146999,retweet,False,Unknown,For,,,,,38146999.0,Political actors,en,For
2916341149,55043362,retweet,False,Unknown,Unknown,,,,,,,,
2789843527,3432735844,retweet,False,Unknown,Unknown,,,,,,,,
406575744,1276064869,retweet,False,Unknown,Unknown,,,,,,,,
2798701,1636590253,retweet,False,Unknown,Unknown,,,,,,,,
1081200096,55043362,retweet,False,Unknown,Unknown,,,,,,,,
56926559,330826792,retweet,False,Unknown,Unclear,,,,,330826792.0,Journalistic actors,en,Unclear
