tweet_id,author_id,date,media_id
675825765737369600,48928075,2015-12-12,3_675659527719673856
675825744531058689,407364224,2015-12-12,3_675813573877198849
675825722880073728,1176640496,2015-12-12,3_671698883286732800
675825673940934656,256136395,2015-12-12,3_675744826000859136
675825639950159873,538437711,2015-12-12,3_675457632191324160
675825619595223040,2500065450,2015-12-12,3_675804934168698881
675825601845006336,251351863,2015-12-12,3_674296899172753409
675825595993976833,2404952916,2015-12-12,3_675723699862036481
675825571083894784,2596133172,2015-12-12,3_675750562487472128
675825532781658112,330826792,2015-12-12,3_675825532651634688
675825523851792384,24228703,2015-12-12,3_675818493669838848
675825514351865856,1421557908,2015-12-12,3_675816448443473920
675825487487311877,3101535105,2015-12-12,3_675775268418674688
675825473348345856,477193182,2015-12-12,3_675744826000859136
675825467035783168,565884437,2015-12-12,3_675655200556892160
675825443497517056,348237700,2015-12-12,3_675812640342585344
675825438099447808,95170812,2015-12-12,3_675813076227215360
675825430105051136,258721662,2015-12-12,3_675775268418674688
675825429454987264,828208507,2015-12-12,3_674536035842465792
675825424937586688,2927170380,2015-12-12,3_675756444780797956
675825424937586688,2927170380,2015-12-12,3_675756447775330304
675825424870473728,116080919,2015-12-12,3_675815838146949120
675825357996425217,4114220844,2015-12-12,3_675802348426551296
675825356314714112,48387441,2015-12-12,3_675775268418674688
675825309690671104,196253730,2015-12-12,3_675748710089940992
675825296596213761,19844438,2015-12-12,3_675780561835712513
675825292628332544,252987054,2015-12-12,3_675813076227215360
675825274219536386,314125926,2015-12-12,3_675747571751632896
675825269882638337,16218064,2015-12-12,3_675750562487472128
675825257350057984,2419947062,2015-12-12,3_675821289643331585
675825212613640195,388330872,2015-12-12,3_675770699550695424
675825205588066304,3245494458,2015-12-12,3_675770699550695424
675825185124179968,131079801,2015-12-12,3_675824012837167104
675825127481847809,580349250,2015-12-12,3_675754253672124420
675825124474400768,37898439,2015-12-12,3_675770699550695424
675825123551768578,198188968,2015-12-12,3_675813573877198849
675825119160209408,312335223,2015-12-12,3_675818493669838848
675825100327936000,185302792,2015-12-12,3_675744611286020096
675825032984182786,174541386,2015-12-12,3_675804928317759489
675825032044683265,2385160333,2015-12-12,3_675794099866378240
675825026411724800,392386070,2015-12-12,3_675748710089940992
675825023551201280,2252147324,2015-12-12,3_675724928163954688
675825020397031424,253302542,2015-12-12,3_675777917654310912
675824979628298240,5794282,2015-12-12,3_675756444780797956
675824979628298240,5794282,2015-12-12,3_675756447775330304
675824972099674112,2707034580,2015-12-12,3_675753438765056000
675824921650536448,363612076,2015-12-12,3_675780561835712513
675824920711077888,215732375,2015-12-12,3_675804934168698881
675824917473067008,160964423,2015-12-12,3_675798738531540992
675824912704151555,709780635,2015-12-12,3_675775268418674688
675824866474532864,210187957,2015-12-12,3_675773490641903618
675824840704675840,3303592042,2015-12-12,3_675681901433065477
675824838376755201,2382880184,2015-12-12,3_675787432915152898
675824830181203968,720313009,2015-12-12,3_675764751432032256
675824806516813825,112219846,2015-12-12,3_675770699550695424
675824805824843777,57297909,2015-12-12,3_675813573877198849
675824803752857605,225245149,2015-12-12,3_675770699550695424
675824764699607041,18942123,2015-12-12,3_675744180447105024
675824733787590657,24553894,2015-12-12,3_675753438765056000
675824732785221632,3371832673,2015-12-12,3_675764751432032256
675824688380125184,154551490,2015-12-12,3_675753438765056000
675824681111429120,1296525722,2015-12-12,3_675769907397722112
675824678418665472,1304148211,2015-12-12,3_675748710089940992
675824662320926720,19071298,2015-12-12,3_675770699550695424
675824603688771584,2451297710,2015-12-12,3_675775268418674688
675824592200581121,3291664709,2015-12-12,3_675758115942498304
675824582041968640,425749852,2015-12-12,3_675818493669838848
675824551868018688,19401331,2015-12-12,3_675724928163954688
675824519098036225,120602529,2015-12-12,3_675818493669838848
675824485384241152,122662012,2015-12-12,3_675773490641903618
675824483060604928,126006578,2015-12-12,3_675770699550695424
675824477343731712,339532820,2015-12-12,3_675770699550695424
675824466451042304,40230242,2015-12-12,3_675659527719673856
675824460537200640,1088751344,2015-12-12,3_675750562487472128
675824432531824642,2748933258,2015-12-12,3_675782409376370690
675824430132645888,1296525722,2015-12-12,3_675771522628370432
675824424440995840,223478864,2015-12-12,3_675744826000859136
675824403469484032,2736106258,2015-12-12,3_675812640342585344
