author_id	Type	Lang	Stance
710064047333494784	Journalistic actors	ar	Unclear
1369823540	Unclear	ar	Unclear
40010267	Business actors	en	Unclear
59166945	Political actors	es	Unclear
35717480	Advocacy actors	fr	Unclear
2340347311	Advocacy actors	en	For
43078165	Scientific actors	en	For
261026506	Political actors	es	For
48606120	Advocacy actors	pt	For
318944474	Advocacy actors	en	For
119718192	Advocacy actors	es	Unclear
310996905	Scientific actors	en	Unclear
484013613	Advocacy actors	fr	For
192842634	Scientific actors	en	For
1404071707296534537	Journalistic actors	en	Unclear
3016721947	Political actors	es	Unclear
2815403688	Journalistic actors	es	For
299710707	Scientific actors	es	For
1244721482	Scientific actors	es	For
38483313	Advocacy actors	en	For
321320237	Scientific actors	fr	For
343267635	Advocacy actors	en	For
57341938	Advocacy actors	en	For
832607371214123008	Scientific actors	en	Unclear
1527716034	Political actors	en	Unclear
619855057	Journalistic actors	en	Unclear
814819352662790145	Journalistic actors	en	Unclear
395247165	Journalistic actors	en	Unclear
3881970556	Private individuals	en	For
2922962571	Advocacy actors	en	Unclear
4332050602	Political actors	en	Unclear
822382	Private individuals	en	Unclear
235689077	Advocacy actors	cy	Unclear
1372707342	Advocacy actors	en	For
243236419	Private individuals	en	For
572290556	Political actors	en	Unclear
21107159	Advocacy actors	en	Unclear
1587437663761698818	Advocacy actors	en	Against
92027622	Advocacy actors	en	For
243550389	Advocacy actors	fr	For
231274511	Advocacy actors	es	For
38498866	Scientific actors	en	Unclear
2301581508	Scientific actors	fr	Unclear
132468437	Unclear	en	Unclear
20212944	Scientific actors	en	Unclear
2742829706	Advocacy actors	en	
1072061811560775680	Advocacy actors	en	
524161662	Advocacy actors	fr	
123231225	Advocacy actors	en	For
1064031036	Bots	en	Unclear
21205898	Advocacy actors	en	For
48360629	Advocacy actors	en	Against
4210591839	Unclear	N/A	Unclear
343519539	Private individuals	en	Unclear
57443624	Private individuals	es	Unclear
380399735	Business actors	en	For
2689749997	Journalistic actors	en	For
2545855531	Business actors	en	For
4256820022	Advocacy actors	en	For
1454224044279181312	Advocacy actors	en	For
165232385	Unclear	N/A	Unclear
74715478	Journalistic actors	pt	For
1671813086	Journalistic actors	en	For
1280460380741959685	Advocacy actors	en	For
1364417028	Advocacy actors	en	For
46084578	Advocacy actors	en	For
1354832837032210437	Advocacy actors	en	For
76849994	Advocacy actors	en	For
1910564407	Advocacy actors	en	For
3350493279	Advocacy actors	en	For
176461575	Advocacy actors	en	For
2913017872	Political actors	en	For
561070834	Advocacy actors	en	For
15463610	Advocacy actors	en	For
704343854439387138	Advocacy actors	fr	For
2152614386	Advocacy actors	en	For
1449832249306800136	Journalistic actors	en	For
3886728132	Political actors	en	For
922883678254006272	Advocacy actors	en	For
1338728173442363392	Advocacy actors	en	For
2478779029	Advocacy actors	en	For
21866534	Advocacy actors	en	For
1388850254	Advocacy actors	en	For
43092107	Journalistic actors	en	For
1062380405716905985	Journalistic actors	en	For
906434047	Advocacy actors	en	For
1491083406	Advocacy actors	en	For
1265996456600776704	Advocacy actors	en	For
783768446970564609	Advocacy actors	en	For
3332466617	Business actors	en	For
3834939257	Journalistic actors	en	For
456864723	Advocacy actors	en	For
887651757807071232	Advocacy actors	en	For
